,title,tomatometer,audience_score,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompanies ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
41,Julie and the Phantoms,93,98,"['Musical', 'Comedy-drama']",Dan Cross & David Hoge,"['Madison Reyes', 'Charlie Gillespie', 'Owen Patrick Joyner', 'Jeremy Shada', 'Jadah Marie', 'Sacha Carlson', 'Savannah May']",,United States,English,1.0,9,"['Kenny Ortega', 'Dan Cross', 'David Hoge', 'Michel Tikhomiroff', 'Fabio Danesi', 'George Salinas', 'Jaime Aymerich']",Jon Joffin,"['Don Brochu', 'Dan Krieger', 'Austin Andrews']",24–38 minutes,"['Cross Hoge Productions', '5678 Productions', 'Mixer Films', 'Crossover Entertainment LLC', 'Brightlight Pictures']",,Netflix,,,"September 10, 2020 (2020-09-10)",24,09,,,,"Burnaby, British Columbia","Julie e os Fantasmasby Paula Knudsen, Tiago Mello, and Fabio Danesi",,,,,,,"['Jameson Parker', 'Thierry Tanguy']",,,,,,David Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Castlevania,93,88,DramaDark fantasyActionAdventureHorror,Warren Ellis,,,United States,English,3.0,22 ,"['Adi Shankar', 'Fred Seibert', 'Ted Biaselli', 'Kevin Kolde', 'Larry Tanz', 'Warren Ellis']",,,23–31 minutes,"['Frederator Studios', 'Powerhouse Animation Studios', 'Shankar Animation', 'Project 51 Productions', 'Mua Film']",Netflix Streaming Services,Netflix,,,"July 7, 2017 (2017-07-07) –present",23,present,,,,,Castlevaniaby Konami,Adi Shankar,,,,,,Jason WilliamsMaki Terashima-Furuta (seasons 2–3),Trevor Morris,,,Warren Ellis (seasons 1–4),"['Sam Deats', 'Adam Deats', 'Spencer Wan']",,"['Richard Armitage', 'James Callis', 'Graham McTavish', 'Alejandra Reynoso', 'Tony Amendola', 'Matt Frewer', 'Emily Swallow', 'Theo James', ""Adetokumboh M'Cormack"", 'Jaime Murray', 'Peter Stormare', 'Jessica Brown Findlay', 'Yasmine Al Massri', 'Ivana Miličević', 'Bill Nighy', 'Navid Negahban', 'Jason Isaacs', 'Toru Uchikado', 'Rila Fukushima', 'Barbara Steele', 'Lance Reddick']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Queer Eye,93,83,Reality television,David Collins,"['Antoni Porowski', 'Tan France', 'Karamo Brown', 'Bobby Berk', 'Jonathan Van Ness']",,United States,,5.0,47 ,"['David Collins', 'Michael Williams', 'Rob Eric', 'Jennifer Lane', 'Adam Sher', 'Jordana Hochman', 'David Eilenberg', 'David George']",Garret Rose,"['Joe DeShano', 'Mathew D. Miller', 'A.M. Peters', 'Ryan Taylor', 'Brian Ray', 'Maxx Cozza']",43–51 minutes,"['Scout Productions', 'ITV Entertainment']",Netflix,Netflix,,Dolby Digital 5.1,"February 7, 2018 (2018-02-07) –present (present)",43,present,Widelife,,,,,,Queer Eye (2003–07),,All things (feat. Elizabeth Pha) by Passion Victim,,,"[""Shannon O'Rourke"", 'Woody Woodbeck', 'Elis Ortiz']",,,,,,,,All things (feat. Elizabeth Pha) by Passion Victim,,,EnglishJapanese (We're in Japan!),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Queer Eye: More than a Makeover,,,,,,,,,,,,,,,,
44,Stranger Things,93,91,"['Science fiction', 'Horror', 'Mystery-thriller']",The Duffer Brothers,"['Winona Ryder', 'David Harbour', 'Finn Wolfhard', 'Millie Bobby Brown', 'Gaten Matarazzo', 'Caleb McLaughlin', 'Natalia Dyer', 'Charlie Heaton', 'Cara Buono', 'Matthew Modine', 'Noah Schnapp', 'Sadie Sink', 'Joe Keery', 'Dacre Montgomery', 'Sean Astin', 'Paul Reiser', 'Maya Hawke', 'Priah Ferguson', 'Brett Gelman', 'Jamie Campbell Bower', 'Eduardo Franco', 'Joseph Quinn']","['Michael Stein', 'Kyle Dixon']",United States,English,3.0,25 ,"['The Duffer Brothers', 'Shawn Levy', 'Dan Cohen', 'Cindy Holland', 'Brian Wright', 'Matt Thunell', 'Karl Gajdusek', 'Iain Paterson']","['Tim Ives', 'Tod Campbell', 'Lachlan Milne', 'David Franco']","['Dean Zimmerman', 'Kevin D. Ross', 'Nat Fuller', 'Katheryn Naranjo']",42–77 minutes,"['21 Laps Entertainment', 'Monkey Massacre']",Netflix Streaming Services,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital 5.1,"July 15, 2016 (2016-07-15) –present (present)",42,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Rhythm + Flow,95,77,,"['Jeff Gaspin', 'Jesse Collins', 'Nikki Boella', 'John Legend']",,,United States,,1.0,10,Jeff GaspinJesse CollinsJohn LegendJeff PollackNikki Boella,,,,"['Gaspin Media', 'Get Lifted Film Company', 'Jesse Collins Entertainment']",Netflix,Netflix,,,"October 9, 2019 (2019-10-09)",,10,,,,,,,,,,,,,,,,,Sam Wrench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T.I.Chance the RapperCardi B,,,,,,,,,,,,,,,
46,On My Block,95,91,"['Teen drama', 'Comedy-drama']","['Lauren Iungerich', 'Eddie Gonzalez', 'Jeremy Haft']","['Sierra Capri', 'Jason Genao', 'Brett Gray', 'Diego Tinoco', 'Jessica Marie Garcia', 'Julio Macias']",,United States,,3.0,28 ,"['Lauren Iungerich', 'Eddie Gonzalez', 'Jeremy Haft']","['Joe Kessler', 'Tommy Maddox-Upshaw', 'Tarin Anderson']",,23–36 minutes,,Netflix,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital 5.1,"March 16, 2018 (2018-03-16) –present (present)",23,present,,,,,,,,,,Crazy Cat Lady Productions,,"['Jamie Dooner', 'Robert Sudduth', 'Hal Olofsson', 'Arlyn Richardson']",KOVAS,,Single-camera,,,,,,,,"['English', 'Spanish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Dear White People,95,50,Comedy-dramaSatire,Justin Simien,"['Logan Browning', 'Brandon P. Bell', 'DeRon Horton', 'Antoinette Robertson', 'John Patrick Amedori', 'Ashley Blaine Featherson', 'Marque Richardson', 'DJ Blickenstaff', 'Giancarlo Esposito']",,United States,English,3.0,30 ,"['Justin Simien', 'Yvette Lee Bowser', 'Stephanie Allain', 'Julia Lebedev']",,,21–36 minutes,"['SisterLee Productions', 'Culture Machine', 'Code Red', 'Homegrown Pictures', 'Roadside Attractions', 'Lionsgate Television']",Netflix,Netflix,,,"April 28, 2017 (2017-04-28) –present (present)",21,present,,,,,Dear White Peopleby Justin Simien,,,Giancarlo Esposito,,,,,Kris Bowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Kingdom,96,95,"['Historical period', 'Political drama', 'Horror', 'Thriller']",,"['Ju Ji-hoon', 'Ryu Seung-ryong', 'Bae Doo-na', 'Kim Sang-ho', 'Kim Sung-kyu', 'Kim Hye-jun']",,South Korea,Korean,2.0,12 + 1 special ,,,,36–56 minutes,,Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital,"January 25, 2019 (2019-01-25) –present (present)",36,present,,Lee Sung-joon,,,The Kingdom of the Godsby Kim Eun-hee and Yang Kyung-il,,,,,AStory,,,,,Single-camera,Kim Eun-hee,"['Kim Seong-hun', 'Park In-je (Season 2)']",,,,,,,Lee Sang-baek,,,,,,,,,,,킹덤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Special,96,84,Comedy,Ryan O'Connell,"[""Ryan O'Connell"", 'Jessica Hecht', 'Punam Patel', 'Marla Mindelle', 'Augustus Prew', 'Patrick Fabian']",,United States,English,1.0,8 ,"['Anna Dokoza', 'Eric Norsoph', ""Ryan O'Connell"", 'Todd Spiewak', 'Jim Parsons']",Philip Roy,,12–17 minutes,"['Warner Bros. Television', ""That's Wonderful Productions"", 'Campfire', 'Stage 13']",Netflix,Netflix,4K (16:9 UHDTV),Dolby Digital,"April 12, 2019 (2019-04-12) –present (present)",12,present,,,,,I'm Special: And Other Lies We Tell Ourselvesby Ryan O'Connell,,,,,,,,Joshua Moshier,Thomas Calderón,Single-camera,Ryan O'Connell,Anna Dokoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,I Think You Should Leave with Tim Robinson,96,73,,"['Zach Kanin', 'Tim Robinson']",Tim Robinson,,United States,English,1.0,6 ,"['Zach Kanin', 'Tim Robinson', 'Andy Samberg', 'Akiva Schaffer', 'Jorma Taccone', 'Becky Sloviter', 'Alex Bach', 'Daniel Powell']",,,16–18 minutes,"['Irony Point', 'Party Over Here']",Netflix,Netflix,,,"April 23, 2019 (2019-04-23) –present",16,present,Doris Wilson,,,,,,,,Big Flame (Is Gonna Break My Heart In Two),,,['Jay Patumanoan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Never Have I Ever,96,89,Comedy-dramaComing of ageTeen drama,Mindy KalingLang Fisher,"['Maitreyi Ramakrishnan', 'Richa Moorjani', 'Jaren Lewison', 'Darren Barnet', 'John McEnroe', 'Poorna Jagannathan']",,United States,English,1.0,10,"['Mindy Kaling', 'Lang Fisher', 'Howard Klein', 'David Miner', 'Tristram Shapeero']",,,22–30 minutes,"['Kaling International, Inc.', 'Original Langster', '3 Arts Entertainment', 'Universal Television']",Netflix,Netflix,,,"April 27, 2020 (2020-04-27) –present (present)",22,present,,,,"Los Angeles, California",,,,"['John McEnroe', 'Andy Samberg']",,,,,Joseph Stephens,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Elite,97,86,"['Thriller', 'Teen drama']","['Carlos Montero', 'Darío Madrona']","['María Pedraza', 'Itzan Escamilla', 'Miguel Bernardeau', 'Ester Expósito', 'Danna Paola', 'Miguel Herrán', 'Jaime Lorente', 'Álvaro Rico', 'Arón Piper', 'Mina El Hammani', 'Omar Ayuso', 'Jorge López', 'Claudia Salas', 'Georgina Amorós', 'Sergio Momo', 'Leïti Sène', 'Manu Ríos', 'Carla Díaz', 'Pol Granch', 'Martina Cariddi']",,Spain,Spanish,3.0,24 ,"['Carlos Montero', 'Darío Madrona', 'Diego Betancor', 'Iñaki Juaristi']","['Daniel Sosa Segura', 'Ricardo de Gracia']","['Irene Blecua', 'Ascen Marchena']",47–56 minutes,,Netflix,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital 5.1,5 October 2018 (2018-10-05) –present (present),47,present,,Francisco Ramos,,"Sierra de Guadarrama, Madrid",,,,,,Zeta Producciones,,,Lucas Vidal,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,The Queen's Gambit,97,66,Period drama,"['Scott Frank', 'Allan Scott']","['Anya Taylor-Joy', 'Bill Camp', 'Moses Ingram', 'Isla Johnston', 'Christiane Seidel', 'Rebecca Root', 'Chloe Pirrie', 'Akemnji Ndifornyen', 'Marielle Heller', 'Harry Melling', 'Patrick Kennedy', 'Jacob Fortune-Lloyd', 'Thomas Brodie-Sangster', 'Marcin Dorociński']",,United States,English,,7 ,"['William Horberg', 'Allan Scott', 'Scott Frank']",Steven Meizler,,46–67 minutes,"['Flitcraft Ltd', 'Wonderful Films']",,Netflix,,,"October 23, 2020 (2020-10-23)",46,10,,,,,The Queen's Gambitby Walter Tevis,,,,,,,"['Marcus Loges', 'Mick Aniceto']",,Michelle Tesoro,,Scott Frank,Scott Frank,Carlos Rafael Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Russian Doll,97,87,"['Comedy-drama', 'Mystery']","['Natasha Lyonne', 'Leslye Headland', 'Amy Poehler']","['Natasha Lyonne', 'Greta Lee', 'Yul Vazquez', 'Charlie Barnett', 'Elizabeth Ashley']",,United States,English,1.0,8 ,"['Natasha Lyonne', 'Leslye Headland', 'Amy Poehler', 'Dave Becky', 'Tony Hernandez', 'Lilly Burns', 'Allison Silverman']",Chris Teague,"['Todd Downing', 'Laura Weinberg']",24–30 minutes,"['Universal Television', 'Paper Kite Productions', 'Jax Media', '3 Arts Entertainment', 'Avenue A', 'Shoot to Midnight']",NBCUniversal Television Distribution,Netflix,,,"February 1, 2019 (2019-02-01) –present (present)",24,present,,,,,,,,,,,,"['Kate Arend', 'John Skidmore', 'Ryan McCormick']",Joe Wong,,,,"['Leslye Headland', 'Jamie Babbit', 'Natasha Lyonne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Lupin,97,78,"['Crime', 'Thriller', 'Mystery', 'Drama']",George KayFrançois Uzan,"['Omar Sy', 'Ludivine Sagnier', 'Clotilde Hesme', 'Vincent Londez']",,France,French,1.0,5,,Christophe NuyensMartial Schmeltz,Jean-Daniel Fernandez-QundezRichard MarizyAudrey Simonaud,42-52 minutes,,Netflix,Netflix,4K (UHDTV),5.1 surround sound,8 January 2021 (2021-01-08) –present,42,present,,,,,Arsène Lupinby Maurice Leblanc,,,,,Gaumont Television,,Isabelle DegeorgesNathan FranckMartin Jaubert,Mathieu Lamboley,,,George KayFrançois Uzan,"['Louis Leterrier', 'Marcela Said']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Nailed It!,98,76,Reality television,,"['Nicole Byer', 'Jacques Torres', 'Weston Bahr']",,United States,English,4.0,40 ,,,,32–36 minutes,,,Netflix,,,"March 9, 2018 (2018-03-09) –present",32,present,,,,,,,,,,Magical Elves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Big Mouth,99,77,"['Coming-of-age', '']","['Andrew Goldberg', 'Nick Kroll', 'Mark Levin', 'Jennifer Flackett']",,,United States,English,4.0,41,"['Nick Kroll', 'Andrew Goldberg', 'Mark Levin', 'Jennifer Flackett', 'Blair Fetter', 'Kristen Zolner', 'Jane Wiseman']",,,25–46 minutes,"['Danger Goldberg Productions', 'Good at Bizness, Inc.', 'Fathouse Industries', 'Titmouse, Inc.']",Netflix Streaming Services,Netflix,,,"September 29, 2017 (2017-09-29) –present (present)",25,present,,,,,,,,,"""Changes""by Charles Bradley",,,"['Nate Funaro', 'Gil Ozeri', 'Kelly Galuska', 'Emily Altman', 'Victor Quinaz', 'Abe Forman-Greenwald']",Mark Rivers,Felipe Salazar,,,,,"['Nick Kroll', 'John Mulaney', 'Jessi Klein', 'Jason Mantzoukas', 'Jenny Slate', 'Fred Armisen', 'Maya Rudolph', 'Jordan Peele', 'Ayo Edebiri']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Lenox Hill,100,99,['Documentary'],,,,United States,English,1.0,9 ,"['Ruthie Shatz', 'Adi Barash', 'Josh Braun']","['Adi Barash', 'Bryant Fisher']","['Ruthie Shatz', 'Helen Yum', 'Akiko Iwakawa-Grieve']",48–53 minutes,"['Netflix Studios', 'Yulari Films']",Netflix,,,,"June 10, 2020 (2020-06-10)",48,06,,,,,,"['Ruthie Shatz', 'Adi Barash']",,,,,,,Uri Frost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Blood of Zeus,100,80,"['Fantasy', 'Adventure', 'Action']","['Charley Parlapanides', 'Vlas Parlapanides']",,,United States,English,1.0,8,"['Charley Parlapanides', 'Vlas Parlapanides', 'Brad Graeber']",,,25–37 minutes,"['Powerhouse Animation', 'Asia Minor Pictures']",,Netflix,HDTV 1080p,Stereo,"October 27, 2020 (2020-10-27) –present",25,present,,,,,,,,,,,,,,Shea Formaneck,,,Shaunt Nigoghossian,Paul Edward-Francis,"['Derek Phillips', ""Jason O'Mara"", 'Claudia Christian', 'Elias Toufexis']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Dirty Money,100,90,Documentary,,,,United States,English,2.0,12 ,"['Adam Del Deo', 'Yon Motskin', 'Lisa Nishimura', 'Stacey Offman', 'Jason Spingarn-Koff', 'Alex Gibney']",,,50–77 minutes,,Netflix,Netflix,,,"January 26, 2018 (2018-01-26) –present (present)",50,present,,,,,,,,,"""Lie, Cheat, Steal"" by Run the Jewels",Jigsaw Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Immigration Nation,100,60,,,,,United States,English,1.0,6,,,,60–64 minutes,,Netflix,,,,"August 3, 2020 (2020-08-03)",60,08,,,,,,,,,,Reel Peak Films,,,,,,,"['Christina Clusiau', 'Shaul Schwarz']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Ugly Delicious,100,62,"['Cooking', 'Documentary', 'Travel']",,"['David Chang', 'Peter Meehan', 'Aziz Ansari', 'David Choe', 'Rene Redzepi']",,,English,2.0,12,Ben CotnerAdam Del Deo,,,45-55 minutes,,Netflix,Netflix,Digital (HDTV),,"February 23, 2018 (2018-02-23) –present (present)",45,present,,,,,,,,,,Tremolo Productions,,"['Morgan Neville', 'David Chang', 'Eddie Schmidt', 'Peter Meehan', 'Christopher Chen', 'Lisa Nishimura']",,,,,"['Eddie Schmidt', 'Jason Zeldes', 'Laura Gabbert', 'Morgan Neville']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Chang,Worldwide,,,,,,,,,,,,,,,,,
63,Dash & Lily,100,68,Romantic comedy,Joe Tracz,"['Austin Abrams', 'Midori Francis', 'Dante Brown', 'Troy Iwata']",,United States,English,1.0,8,"['Brad Silberling', 'Nick Jonas', 'Phil McIntyre', 'Shawn Levy', 'Josh Barry', 'Joe Tracz']",Eric Treml,"['Robert Nassau', 'Jane Rizzo', 'Joe Giganti']",23–27 minutes,"['21 Laps Entertainment', 'Boy Detective Inc.', 'Image 32']",,Netflix,,,"November 10, 2020 (2020-11-10)",23,11,,Karl Frankenfield,,,Dash & Lily's Book of Daresby Rachel Cohn & David Levithan,,,,,,,,,,,,,Dan the Automator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Feel Good,100,91,,,"['Mae Martin', 'Charlotte Ritchie', 'Lisa Kudrow', 'Sophie Thompson', 'Phil Burgers']",,United Kingdom,English,,6 ,,,,,,,"['Channel 4', 'All 4', 'Netflix']",,,18 March 2020 (2020-03-18) –present (present),,present,,,,,,,,,,Objective Fiction,,,,,,"['Mae Martin', 'Joe Hampson']",,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,The Baby-Sitters Club,100,79,Comedy-drama,Rachel Shukert,"['Sophie Grace', 'Momona Tamada', 'Shay Rudolph', 'Malia Baker', 'Alicia Silverstone', 'Mark Feuerstein', 'Xochitl Gomez']",,United States,English,1.0,10,"['Rachel Shukert', 'Lucia Aniello', 'Michael De Luca', 'Lucy Kitada', 'Frank Smith', 'Naia Cucukov', 'Benjamin Forrer']",Adam Silver,"['Joseph Ettinger', 'Jamie Gross', 'Janet Weinberg']",22–27 minutes,"['Terrible Baby Productions', 'Paulilu', 'Michael De Luca Productions', 'Walden Media']",Netflix,Netflix,,,"July 3, 2020 (2020-07-03) –present (present)",22,present,,,,,The Baby-Sitters Clubby Ann M. Martin,,,,,,,"['Meg Schave', 'Ann M. Martin', 'Lyle Friedman', 'Ashley Glazier']",,,,,,Jesse Novak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Master of None,100,90,Comedy-drama,"['Aziz Ansari', 'Alan Yang']","['Aziz Ansari', 'Noël Wells', 'Eric Wareheim', 'Kelvin Yu', 'Lena Waithe', 'Alessandra Mastronardi']","['Didier Leplae', 'Joe Wong']",United States,English,2.0,20 ,"['Aziz Ansari', 'Alan Yang', 'Michael Schur', 'Dave Becky', 'David Miner']",Mark Schwartzbard,"['Jennifer Lilly', 'Suzy Elmiger', 'Daniel Haworth']",21–57 minutes,"['Alan Yang Pictures', 'Oh Brudder Productions', 'Fremulon', '3 Arts Entertainment', 'Universal Television']",Netflix,Netflix,4K (2.35:1 UHDTV),Dolby Digital 5.1 with Descriptive Video Service track,"November 6, 2015 (2015-11-06) –present",21,present,,Igor Srubshchik,,New York CityModena,,,,,,,,,,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
